Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
  1.0,1,Alabama,,35,65,,Jan 01,,,,,,,,2010 Election results-1
274.0,5,Alaska,,12,50,,Oct 02,,,,,,,,Alaska Survey Research-5
  1.0,1,Alaska,,25,39,,Jan 01,,,,,,,,2010 Election results-1
296.5,4,Arizona,,40,50,,Oct 24,,,,,,,,Monmouth U.-4
288.0,1,Arizona,,35,45,,Oct 14,,,,,,,,HighGround-1
286.5,6,Arizona,,40,52,,Oct 15,,,,,,,,Arizona State U.-6
286.0,9,Arizona,,45,48,,Oct 16,,,,,,,,SurveyMonkey-9
277.0,3,Arizona,,36,52,,Oct 04,,,,,,,,Emerson Coll.-3
251.0,3,Arizona,,38,57,,Sep 08,,,,,,,,Marist Coll.-3
240.0,3,Arizona,,43,43,,Aug 28,,,,,,,,PPP-3
233.5,6,Arizona,,39,52,,Aug 23,,,,,,,,Opinion Research-6
174.5,2,Arizona,,40,42,,Jun 23,,,,,,,,PPP-2
164.5,14,Arizona,,31,40,,Jun 19,,,,,,,,Behavior Research Center-14
135.0,3,Arizona,,36,42,,May 15,,,,,,,,PPP-3
123.0,3,Arizona,,36,42,,May 03,,,,,,,,PPP-3
 98.5,8,Arizona,,42,42,,Apr 11,,,,,,,,Behavior Research Center-8
 69.0,5,Arizona,,40,41,,Mar 11,,,,,,,,Merrill Poll-5
 17.0,1,Arizona,,37,38,,Jan 17,,,,,,,,Behavior Research Center-1
  1.0,1,Arizona,,35,59,,Jan 01,,,,,,,,2010 Election results-1
295.0,1,Arkansas,,34,52,,Oct 21,,,,,,,,Hendrix Coll.-1
255.0,5,Arkansas,,30,44,,Sep 13,,,,,,,,Emerson Coll.-5
  1.0,1,Arkansas,,38,57,,Jan 01,,,,,,,,2010 Election results-1
288.0,3,California,,45,24,,Oct 15,,,,,,,,SurveyUSA-3
271.5,2,California,,40,29,,Sep 28,,,,,,,,SurveyUSA-2
257.5,10,California,,32,25,,Sep 18,,,,,,,,Public Policy Inst. of Calif.-10
253.5,4,California,,44,27,,Sep 11,,,,,,,,SurveyUSA-4
232.5,10,California,,51,19,,Aug 24,,,,,,,,Sacramento State-10
231.0,3,California,,41,15,,Aug 19,,,,,,,,Smith Johnson Research-3
196.5,10,California,,38,20,,Jul 19,,,,,,,,Public Policy Inst. of Calif.-10
172.0,25,California,,39,24,,Jul 02,,,,,,,,Field Poll-25
149.5,6,California,,40,26,,May 31,,,,,,,,Field Poll-6
138.5,10,California,,34,26,,May 22,,,,,,,,PPIC-10
  1.0,1,California,,52,43,,Jan 01,,,,,,,,2010 Election results-1
287.0,7,Colorado,,56,38,,Oct 16,,,,,,,,Quinnipiac U.-7
286.0,9,Colorado,,52,42,,Oct 16,,,,,,,,SurveyMonkey-9
274.5,4,Colorado,,53,35,,Oct 02,,,,,,,,Monmouth U.-4
271.5,2,Colorado,,44,34,,Sep 28,,,,,,,,PPP-2
266.5,6,Colorado,,53,43,,Sep 25,,,,,,,,Opinion Research-6
261.0,9,Colorado,,52,43,,Sep 21,,,,,,,,Quinnipiac U.-9
